id,class,buying,maint,doors,persons,lug_boot,safety
1,unacc,vhigh,vhigh,2,2,small,low
3,unacc,vhigh,vhigh,2,2,small,high
5,unacc,vhigh,vhigh,2,2,med,med
6,unacc,vhigh,vhigh,2,2,med,high
7,unacc,vhigh,vhigh,2,2,big,low
8,unacc,vhigh,vhigh,2,2,big,med
11,unacc,vhigh,vhigh,2,4,small,med
14,unacc,vhigh,vhigh,2,4,med,med
17,unacc,vhigh,vhigh,2,4,big,med
18,unacc,vhigh,vhigh,2,4,big,high
19,unacc,vhigh,vhigh,2,more,small,low
20,unacc,vhigh,vhigh,2,more,small,med
21,unacc,vhigh,vhigh,2,more,small,high
22,unacc,vhigh,vhigh,2,more,med,low
23,unacc,vhigh,vhigh,2,more,med,med
25,unacc,vhigh,vhigh,2,more,big,low
26,unacc,vhigh,vhigh,2,more,big,med
27,unacc,vhigh,vhigh,2,more,big,high
28,unacc,vhigh,vhigh,3,2,small,low
29,unacc,vhigh,vhigh,3,2,small,med
30,unacc,vhigh,vhigh,3,2,small,high
31,unacc,vhigh,vhigh,3,2,med,low
32,unacc,vhigh,vhigh,3,2,med,med
34,unacc,vhigh,vhigh,3,2,big,low
37,unacc,vhigh,vhigh,3,4,small,low
38,unacc,vhigh,vhigh,3,4,small,med
39,unacc,vhigh,vhigh,3,4,small,high
41,unacc,vhigh,vhigh,3,4,med,med
42,unacc,vhigh,vhigh,3,4,med,high
43,unacc,vhigh,vhigh,3,4,big,low
44,unacc,vhigh,vhigh,3,4,big,med
45,unacc,vhigh,vhigh,3,4,big,high
46,unacc,vhigh,vhigh,3,more,small,low
47,unacc,vhigh,vhigh,3,more,small,med
50,unacc,vhigh,vhigh,3,more,med,med
51,unacc,vhigh,vhigh,3,more,med,high
52,unacc,vhigh,vhigh,3,more,big,low
55,unacc,vhigh,vhigh,4,2,small,low
56,unacc,vhigh,vhigh,4,2,small,med
57,unacc,vhigh,vhigh,4,2,small,high
58,unacc,vhigh,vhigh,4,2,med,low
59,unacc,vhigh,vhigh,4,2,med,med
61,unacc,vhigh,vhigh,4,2,big,low
62,unacc,vhigh,vhigh,4,2,big,med
63,unacc,vhigh,vhigh,4,2,big,high
64,unacc,vhigh,vhigh,4,4,small,low
65,unacc,vhigh,vhigh,4,4,small,med
67,unacc,vhigh,vhigh,4,4,med,low
68,unacc,vhigh,vhigh,4,4,med,med
69,unacc,vhigh,vhigh,4,4,med,high
72,unacc,vhigh,vhigh,4,4,big,high
73,unacc,vhigh,vhigh,4,more,small,low
74,unacc,vhigh,vhigh,4,more,small,med
75,unacc,vhigh,vhigh,4,more,small,high
76,unacc,vhigh,vhigh,4,more,med,low
78,unacc,vhigh,vhigh,4,more,med,high
79,unacc,vhigh,vhigh,4,more,big,low
80,unacc,vhigh,vhigh,4,more,big,med
81,unacc,vhigh,vhigh,4,more,big,high
82,unacc,vhigh,vhigh,5more,2,small,low
83,unacc,vhigh,vhigh,5more,2,small,med
84,unacc,vhigh,vhigh,5more,2,small,high
85,unacc,vhigh,vhigh,5more,2,med,low
86,unacc,vhigh,vhigh,5more,2,med,med
87,unacc,vhigh,vhigh,5more,2,med,high
88,unacc,vhigh,vhigh,5more,2,big,low
89,unacc,vhigh,vhigh,5more,2,big,med
90,unacc,vhigh,vhigh,5more,2,big,high
91,unacc,vhigh,vhigh,5more,4,small,low
93,unacc,vhigh,vhigh,5more,4,small,high
94,unacc,vhigh,vhigh,5more,4,med,low
95,unacc,vhigh,vhigh,5more,4,med,med
96,unacc,vhigh,vhigh,5more,4,med,high
98,unacc,vhigh,vhigh,5more,4,big,med
99,unacc,vhigh,vhigh,5more,4,big,high
101,unacc,vhigh,vhigh,5more,more,small,med
102,unacc,vhigh,vhigh,5more,more,small,high
103,unacc,vhigh,vhigh,5more,more,med,low
104,unacc,vhigh,vhigh,5more,more,med,med
105,unacc,vhigh,vhigh,5more,more,med,high
106,unacc,vhigh,vhigh,5more,more,big,low
107,unacc,vhigh,vhigh,5more,more,big,med
109,unacc,vhigh,high,2,2,small,low
110,unacc,vhigh,high,2,2,small,med
111,unacc,vhigh,high,2,2,small,high
113,unacc,vhigh,high,2,2,med,med
114,unacc,vhigh,high,2,2,med,high
115,unacc,vhigh,high,2,2,big,low
116,unacc,vhigh,high,2,2,big,med
117,unacc,vhigh,high,2,2,big,high
119,unacc,vhigh,high,2,4,small,med
120,unacc,vhigh,high,2,4,small,high
121,unacc,vhigh,high,2,4,med,low
122,unacc,vhigh,high,2,4,med,med
123,unacc,vhigh,high,2,4,med,high
125,unacc,vhigh,high,2,4,big,med
126,unacc,vhigh,high,2,4,big,high
127,unacc,vhigh,high,2,more,small,low
128,unacc,vhigh,high,2,more,small,med
130,unacc,vhigh,high,2,more,med,low
131,unacc,vhigh,high,2,more,med,med
132,unacc,vhigh,high,2,more,med,high
133,unacc,vhigh,high,2,more,big,low
136,unacc,vhigh,high,3,2,small,low
137,unacc,vhigh,high,3,2,small,med
138,unacc,vhigh,high,3,2,small,high
139,unacc,vhigh,high,3,2,med,low
140,unacc,vhigh,high,3,2,med,med
141,unacc,vhigh,high,3,2,med,high
142,unacc,vhigh,high,3,2,big,low
143,unacc,vhigh,high,3,2,big,med
145,unacc,vhigh,high,3,4,small,low
147,unacc,vhigh,high,3,4,small,high
148,unacc,vhigh,high,3,4,med,low
149,unacc,vhigh,high,3,4,med,med
150,unacc,vhigh,high,3,4,med,high
153,unacc,vhigh,high,3,4,big,high
154,unacc,vhigh,high,3,more,small,low
156,unacc,vhigh,high,3,more,small,high
158,unacc,vhigh,high,3,more,med,med
159,unacc,vhigh,high,3,more,med,high
161,unacc,vhigh,high,3,more,big,med
162,unacc,vhigh,high,3,more,big,high
163,unacc,vhigh,high,4,2,small,low
165,unacc,vhigh,high,4,2,small,high
166,unacc,vhigh,high,4,2,med,low
167,unacc,vhigh,high,4,2,med,med
168,unacc,vhigh,high,4,2,med,high
169,unacc,vhigh,high,4,2,big,low
171,unacc,vhigh,high,4,2,big,high
173,unacc,vhigh,high,4,4,small,med
174,unacc,vhigh,high,4,4,small,high
175,unacc,vhigh,high,4,4,med,low
176,unacc,vhigh,high,4,4,med,med
178,unacc,vhigh,high,4,4,big,low
180,unacc,vhigh,high,4,4,big,high
182,unacc,vhigh,high,4,more,small,med
184,unacc,vhigh,high,4,more,med,low
185,unacc,vhigh,high,4,more,med,med
186,unacc,vhigh,high,4,more,med,high
187,unacc,vhigh,high,4,more,big,low
190,unacc,vhigh,high,5more,2,small,low
191,unacc,vhigh,high,5more,2,small,med
194,unacc,vhigh,high,5more,2,med,med
195,unacc,vhigh,high,5more,2,med,high
196,unacc,vhigh,high,5more,2,big,low
197,unacc,vhigh,high,5more,2,big,med
198,unacc,vhigh,high,5more,2,big,high
201,unacc,vhigh,high,5more,4,small,high
203,unacc,vhigh,high,5more,4,med,med
204,unacc,vhigh,high,5more,4,med,high
205,unacc,vhigh,high,5more,4,big,low
206,unacc,vhigh,high,5more,4,big,med
209,unacc,vhigh,high,5more,more,small,med
211,unacc,vhigh,high,5more,more,med,low
212,unacc,vhigh,high,5more,more,med,med
213,unacc,vhigh,high,5more,more,med,high
214,unacc,vhigh,high,5more,more,big,low
215,unacc,vhigh,high,5more,more,big,med
216,unacc,vhigh,high,5more,more,big,high
217,unacc,vhigh,med,2,2,small,low
218,unacc,vhigh,med,2,2,small,med
220,unacc,vhigh,med,2,2,med,low
221,unacc,vhigh,med,2,2,med,med
222,unacc,vhigh,med,2,2,med,high
223,unacc,vhigh,med,2,2,big,low
224,unacc,vhigh,med,2,2,big,med
225,unacc,vhigh,med,2,2,big,high
229,unacc,vhigh,med,2,4,med,low
230,unacc,vhigh,med,2,4,med,med
231,acc,vhigh,med,2,4,med,high
232,unacc,vhigh,med,2,4,big,low
233,acc,vhigh,med,2,4,big,med
234,acc,vhigh,med,2,4,big,high
236,unacc,vhigh,med,2,more,small,med
237,unacc,vhigh,med,2,more,small,high
239,unacc,vhigh,med,2,more,med,med
240,acc,vhigh,med,2,more,med,high
241,unacc,vhigh,med,2,more,big,low
242,acc,vhigh,med,2,more,big,med
243,acc,vhigh,med,2,more,big,high
244,unacc,vhigh,med,3,2,small,low
246,unacc,vhigh,med,3,2,small,high
247,unacc,vhigh,med,3,2,med,low
251,unacc,vhigh,med,3,2,big,med
252,unacc,vhigh,med,3,2,big,high
253,unacc,vhigh,med,3,4,small,low
254,unacc,vhigh,med,3,4,small,med
255,acc,vhigh,med,3,4,small,high
256,unacc,vhigh,med,3,4,med,low
257,unacc,vhigh,med,3,4,med,med
258,acc,vhigh,med,3,4,med,high
259,unacc,vhigh,med,3,4,big,low
260,acc,vhigh,med,3,4,big,med
261,acc,vhigh,med,3,4,big,high
262,unacc,vhigh,med,3,more,small,low
263,unacc,vhigh,med,3,more,small,med
264,acc,vhigh,med,3,more,small,high
265,unacc,vhigh,med,3,more,med,low
267,acc,vhigh,med,3,more,med,high
268,unacc,vhigh,med,3,more,big,low
269,acc,vhigh,med,3,more,big,med
270,acc,vhigh,med,3,more,big,high
274,unacc,vhigh,med,4,2,med,low
275,unacc,vhigh,med,4,2,med,med
277,unacc,vhigh,med,4,2,big,low
278,unacc,vhigh,med,4,2,big,med
279,unacc,vhigh,med,4,2,big,high
280,unacc,vhigh,med,4,4,small,low
281,unacc,vhigh,med,4,4,small,med
283,unacc,vhigh,med,4,4,med,low
284,acc,vhigh,med,4,4,med,med
285,acc,vhigh,med,4,4,med,high
286,unacc,vhigh,med,4,4,big,low
287,acc,vhigh,med,4,4,big,med
288,acc,vhigh,med,4,4,big,high
289,unacc,vhigh,med,4,more,small,low
291,acc,vhigh,med,4,more,small,high
292,unacc,vhigh,med,4,more,med,low
293,acc,vhigh,med,4,more,med,med
294,acc,vhigh,med,4,more,med,high
299,unacc,vhigh,med,5more,2,small,med
301,unacc,vhigh,med,5more,2,med,low
302,unacc,vhigh,med,5more,2,med,med
303,unacc,vhigh,med,5more,2,med,high
304,unacc,vhigh,med,5more,2,big,low
305,unacc,vhigh,med,5more,2,big,med
307,unacc,vhigh,med,5more,4,small,low
309,acc,vhigh,med,5more,4,small,high
312,acc,vhigh,med,5more,4,med,high
313,unacc,vhigh,med,5more,4,big,low
314,acc,vhigh,med,5more,4,big,med
315,acc,vhigh,med,5more,4,big,high
316,unacc,vhigh,med,5more,more,small,low
317,unacc,vhigh,med,5more,more,small,med
318,acc,vhigh,med,5more,more,small,high
319,unacc,vhigh,med,5more,more,med,low
321,acc,vhigh,med,5more,more,med,high
325,unacc,vhigh,low,2,2,small,low
326,unacc,vhigh,low,2,2,small,med
327,unacc,vhigh,low,2,2,small,high
328,unacc,vhigh,low,2,2,med,low
329,unacc,vhigh,low,2,2,med,med
331,unacc,vhigh,low,2,2,big,low
332,unacc,vhigh,low,2,2,big,med
333,unacc,vhigh,low,2,2,big,high
334,unacc,vhigh,low,2,4,small,low
338,unacc,vhigh,low,2,4,med,med
339,acc,vhigh,low,2,4,med,high
341,acc,vhigh,low,2,4,big,med
342,acc,vhigh,low,2,4,big,high
343,unacc,vhigh,low,2,more,small,low
344,unacc,vhigh,low,2,more,small,med
345,unacc,vhigh,low,2,more,small,high
346,unacc,vhigh,low,2,more,med,low
347,unacc,vhigh,low,2,more,med,med
348,acc,vhigh,low,2,more,med,high
349,unacc,vhigh,low,2,more,big,low
351,acc,vhigh,low,2,more,big,high
352,unacc,vhigh,low,3,2,small,low
353,unacc,vhigh,low,3,2,small,med
355,unacc,vhigh,low,3,2,med,low
356,unacc,vhigh,low,3,2,med,med
357,unacc,vhigh,low,3,2,med,high
358,unacc,vhigh,low,3,2,big,low
359,unacc,vhigh,low,3,2,big,med
360,unacc,vhigh,low,3,2,big,high
361,unacc,vhigh,low,3,4,small,low
364,unacc,vhigh,low,3,4,med,low
365,unacc,vhigh,low,3,4,med,med
366,acc,vhigh,low,3,4,med,high
367,unacc,vhigh,low,3,4,big,low
368,acc,vhigh,low,3,4,big,med
370,unacc,vhigh,low,3,more,small,low
375,acc,vhigh,low,3,more,med,high
379,unacc,vhigh,low,4,2,small,low
380,unacc,vhigh,low,4,2,small,med
381,unacc,vhigh,low,4,2,small,high
385,unacc,vhigh,low,4,2,big,low
387,unacc,vhigh,low,4,2,big,high
388,unacc,vhigh,low,4,4,small,low
389,unacc,vhigh,low,4,4,small,med
392,acc,vhigh,low,4,4,med,med
393,acc,vhigh,low,4,4,med,high
394,unacc,vhigh,low,4,4,big,low
395,acc,vhigh,low,4,4,big,med
397,unacc,vhigh,low,4,more,small,low
398,unacc,vhigh,low,4,more,small,med
399,acc,vhigh,low,4,more,small,high
400,unacc,vhigh,low,4,more,med,low
401,acc,vhigh,low,4,more,med,med
402,acc,vhigh,low,4,more,med,high
404,acc,vhigh,low,4,more,big,med
405,acc,vhigh,low,4,more,big,high
406,unacc,vhigh,low,5more,2,small,low
407,unacc,vhigh,low,5more,2,small,med
408,unacc,vhigh,low,5more,2,small,high
409,unacc,vhigh,low,5more,2,med,low
410,unacc,vhigh,low,5more,2,med,med
411,unacc,vhigh,low,5more,2,med,high
412,unacc,vhigh,low,5more,2,big,low
415,unacc,vhigh,low,5more,4,small,low
416,unacc,vhigh,low,5more,4,small,med
417,acc,vhigh,low,5more,4,small,high
418,unacc,vhigh,low,5more,4,med,low
420,acc,vhigh,low,5more,4,med,high
423,acc,vhigh,low,5more,4,big,high
424,unacc,vhigh,low,5more,more,small,low
426,acc,vhigh,low,5more,more,small,high
428,acc,vhigh,low,5more,more,med,med
430,unacc,vhigh,low,5more,more,big,low
431,acc,vhigh,low,5more,more,big,med
432,acc,vhigh,low,5more,more,big,high
433,unacc,high,vhigh,2,2,small,low
434,unacc,high,vhigh,2,2,small,med
435,unacc,high,vhigh,2,2,small,high
436,unacc,high,vhigh,2,2,med,low
437,unacc,high,vhigh,2,2,med,med
438,unacc,high,vhigh,2,2,med,high
439,unacc,high,vhigh,2,2,big,low
440,unacc,high,vhigh,2,2,big,med
441,unacc,high,vhigh,2,2,big,high
443,unacc,high,vhigh,2,4,small,med
445,unacc,high,vhigh,2,4,med,low
446,unacc,high,vhigh,2,4,med,med
448,unacc,high,vhigh,2,4,big,low
449,unacc,high,vhigh,2,4,big,med
450,unacc,high,vhigh,2,4,big,high
451,unacc,high,vhigh,2,more,small,low
453,unacc,high,vhigh,2,more,small,high
455,unacc,high,vhigh,2,more,med,med
456,unacc,high,vhigh,2,more,med,high
457,unacc,high,vhigh,2,more,big,low
458,unacc,high,vhigh,2,more,big,med
461,unacc,high,vhigh,3,2,small,med
462,unacc,high,vhigh,3,2,small,high
463,unacc,high,vhigh,3,2,med,low
465,unacc,high,vhigh,3,2,med,high
466,unacc,high,vhigh,3,2,big,low
467,unacc,high,vhigh,3,2,big,med
468,unacc,high,vhigh,3,2,big,high
469,unacc,high,vhigh,3,4,small,low
470,unacc,high,vhigh,3,4,small,med
471,unacc,high,vhigh,3,4,small,high
473,unacc,high,vhigh,3,4,med,med
474,unacc,high,vhigh,3,4,med,high
475,unacc,high,vhigh,3,4,big,low
476,unacc,high,vhigh,3,4,big,med
477,unacc,high,vhigh,3,4,big,high
478,unacc,high,vhigh,3,more,small,low
479,unacc,high,vhigh,3,more,small,med
480,unacc,high,vhigh,3,more,small,high
481,unacc,high,vhigh,3,more,med,low
482,unacc,high,vhigh,3,more,med,med
484,unacc,high,vhigh,3,more,big,low
485,unacc,high,vhigh,3,more,big,med
487,unacc,high,vhigh,4,2,small,low
490,unacc,high,vhigh,4,2,med,low
491,unacc,high,vhigh,4,2,med,med
492,unacc,high,vhigh,4,2,med,high
493,unacc,high,vhigh,4,2,big,low
495,unacc,high,vhigh,4,2,big,high
496,unacc,high,vhigh,4,4,small,low
497,unacc,high,vhigh,4,4,small,med
499,unacc,high,vhigh,4,4,med,low
500,unacc,high,vhigh,4,4,med,med
501,unacc,high,vhigh,4,4,med,high
503,unacc,high,vhigh,4,4,big,med
505,unacc,high,vhigh,4,more,small,low
506,unacc,high,vhigh,4,more,small,med
507,unacc,high,vhigh,4,more,small,high
508,unacc,high,vhigh,4,more,med,low
510,unacc,high,vhigh,4,more,med,high
511,unacc,high,vhigh,4,more,big,low
512,unacc,high,vhigh,4,more,big,med
515,unacc,high,vhigh,5more,2,small,med
517,unacc,high,vhigh,5more,2,med,low
518,unacc,high,vhigh,5more,2,med,med
519,unacc,high,vhigh,5more,2,med,high
520,unacc,high,vhigh,5more,2,big,low
521,unacc,high,vhigh,5more,2,big,med
523,unacc,high,vhigh,5more,4,small,low
524,unacc,high,vhigh,5more,4,small,med
525,unacc,high,vhigh,5more,4,small,high
526,unacc,high,vhigh,5more,4,med,low
527,unacc,high,vhigh,5more,4,med,med
528,unacc,high,vhigh,5more,4,med,high
529,unacc,high,vhigh,5more,4,big,low
530,unacc,high,vhigh,5more,4,big,med
531,unacc,high,vhigh,5more,4,big,high
532,unacc,high,vhigh,5more,more,small,low
533,unacc,high,vhigh,5more,more,small,med
534,unacc,high,vhigh,5more,more,small,high
535,unacc,high,vhigh,5more,more,med,low
536,unacc,high,vhigh,5more,more,med,med
537,unacc,high,vhigh,5more,more,med,high
538,unacc,high,vhigh,5more,more,big,low
539,unacc,high,vhigh,5more,more,big,med
540,unacc,high,vhigh,5more,more,big,high
542,unacc,high,high,2,2,small,med
543,unacc,high,high,2,2,small,high
544,unacc,high,high,2,2,med,low
545,unacc,high,high,2,2,med,med
546,unacc,high,high,2,2,med,high
549,unacc,high,high,2,2,big,high
551,unacc,high,high,2,4,small,med
552,acc,high,high,2,4,small,high
553,unacc,high,high,2,4,med,low
554,unacc,high,high,2,4,med,med
556,unacc,high,high,2,4,big,low
557,acc,high,high,2,4,big,med
563,unacc,high,high,2,more,med,med
564,acc,high,high,2,more,med,high
565,unacc,high,high,2,more,big,low
567,acc,high,high,2,more,big,high
568,unacc,high,high,3,2,small,low
569,unacc,high,high,3,2,small,med
570,unacc,high,high,3,2,small,high
571,unacc,high,high,3,2,med,low
572,unacc,high,high,3,2,med,med
573,unacc,high,high,3,2,med,high
574,unacc,high,high,3,2,big,low
576,unacc,high,high,3,2,big,high
577,unacc,high,high,3,4,small,low
578,unacc,high,high,3,4,small,med
579,acc,high,high,3,4,small,high
580,unacc,high,high,3,4,med,low
582,acc,high,high,3,4,med,high
584,acc,high,high,3,4,big,med
585,acc,high,high,3,4,big,high
586,unacc,high,high,3,more,small,low
588,acc,high,high,3,more,small,high
589,unacc,high,high,3,more,med,low
590,acc,high,high,3,more,med,med
593,acc,high,high,3,more,big,med
594,acc,high,high,3,more,big,high
595,unacc,high,high,4,2,small,low
596,unacc,high,high,4,2,small,med
598,unacc,high,high,4,2,med,low
599,unacc,high,high,4,2,med,med
600,unacc,high,high,4,2,med,high
602,unacc,high,high,4,2,big,med
603,unacc,high,high,4,2,big,high
604,unacc,high,high,4,4,small,low
605,unacc,high,high,4,4,small,med
610,unacc,high,high,4,4,big,low
612,acc,high,high,4,4,big,high
613,unacc,high,high,4,more,small,low
614,unacc,high,high,4,more,small,med
615,acc,high,high,4,more,small,high
616,unacc,high,high,4,more,med,low
617,acc,high,high,4,more,med,med
618,acc,high,high,4,more,med,high
619,unacc,high,high,4,more,big,low
620,acc,high,high,4,more,big,med
621,acc,high,high,4,more,big,high
622,unacc,high,high,5more,2,small,low
623,unacc,high,high,5more,2,small,med
624,unacc,high,high,5more,2,small,high
625,unacc,high,high,5more,2,med,low
626,unacc,high,high,5more,2,med,med
627,unacc,high,high,5more,2,med,high
628,unacc,high,high,5more,2,big,low
629,unacc,high,high,5more,2,big,med
630,unacc,high,high,5more,2,big,high
631,unacc,high,high,5more,4,small,low
633,acc,high,high,5more,4,small,high
634,unacc,high,high,5more,4,med,low
635,acc,high,high,5more,4,med,med
636,acc,high,high,5more,4,med,high
637,unacc,high,high,5more,4,big,low
638,acc,high,high,5more,4,big,med
640,unacc,high,high,5more,more,small,low
641,unacc,high,high,5more,more,small,med
642,acc,high,high,5more,more,small,high
643,unacc,high,high,5more,more,med,low
644,acc,high,high,5more,more,med,med
645,acc,high,high,5more,more,med,high
646,unacc,high,high,5more,more,big,low
648,acc,high,high,5more,more,big,high
649,unacc,high,med,2,2,small,low
650,unacc,high,med,2,2,small,med
651,unacc,high,med,2,2,small,high
652,unacc,high,med,2,2,med,low
653,unacc,high,med,2,2,med,med
654,unacc,high,med,2,2,med,high
655,unacc,high,med,2,2,big,low
656,unacc,high,med,2,2,big,med
657,unacc,high,med,2,2,big,high
658,unacc,high,med,2,4,small,low
659,unacc,high,med,2,4,small,med
660,acc,high,med,2,4,small,high
661,unacc,high,med,2,4,med,low
662,unacc,high,med,2,4,med,med
664,unacc,high,med,2,4,big,low
665,acc,high,med,2,4,big,med
666,acc,high,med,2,4,big,high
667,unacc,high,med,2,more,small,low
668,unacc,high,med,2,more,small,med
670,unacc,high,med,2,more,med,low
671,unacc,high,med,2,more,med,med
672,acc,high,med,2,more,med,high
673,unacc,high,med,2,more,big,low
674,acc,high,med,2,more,big,med
676,unacc,high,med,3,2,small,low
677,unacc,high,med,3,2,small,med
678,unacc,high,med,3,2,small,high
679,unacc,high,med,3,2,med,low
681,unacc,high,med,3,2,med,high
683,unacc,high,med,3,2,big,med
684,unacc,high,med,3,2,big,high
686,unacc,high,med,3,4,small,med
687,acc,high,med,3,4,small,high
689,unacc,high,med,3,4,med,med
690,acc,high,med,3,4,med,high
692,acc,high,med,3,4,big,med
694,unacc,high,med,3,more,small,low
695,unacc,high,med,3,more,small,med
696,acc,high,med,3,more,small,high
698,acc,high,med,3,more,med,med
699,acc,high,med,3,more,med,high
700,unacc,high,med,3,more,big,low
701,acc,high,med,3,more,big,med
702,acc,high,med,3,more,big,high
703,unacc,high,med,4,2,small,low
704,unacc,high,med,4,2,small,med
705,unacc,high,med,4,2,small,high
708,unacc,high,med,4,2,med,high
709,unacc,high,med,4,2,big,low
710,unacc,high,med,4,2,big,med
711,unacc,high,med,4,2,big,high
712,unacc,high,med,4,4,small,low
714,acc,high,med,4,4,small,high
716,acc,high,med,4,4,med,med
717,acc,high,med,4,4,med,high
718,unacc,high,med,4,4,big,low
720,acc,high,med,4,4,big,high
722,unacc,high,med,4,more,small,med
723,acc,high,med,4,more,small,high
724,unacc,high,med,4,more,med,low
725,acc,high,med,4,more,med,med
729,acc,high,med,4,more,big,high
730,unacc,high,med,5more,2,small,low
731,unacc,high,med,5more,2,small,med
733,unacc,high,med,5more,2,med,low
734,unacc,high,med,5more,2,med,med
735,unacc,high,med,5more,2,med,high
737,unacc,high,med,5more,2,big,med
738,unacc,high,med,5more,2,big,high
739,unacc,high,med,5more,4,small,low
740,unacc,high,med,5more,4,small,med
742,unacc,high,med,5more,4,med,low
743,acc,high,med,5more,4,med,med
744,acc,high,med,5more,4,med,high
745,unacc,high,med,5more,4,big,low
746,acc,high,med,5more,4,big,med
747,acc,high,med,5more,4,big,high
748,unacc,high,med,5more,more,small,low
750,acc,high,med,5more,more,small,high
751,unacc,high,med,5more,more,med,low
752,acc,high,med,5more,more,med,med
753,acc,high,med,5more,more,med,high
754,unacc,high,med,5more,more,big,low
755,acc,high,med,5more,more,big,med
756,acc,high,med,5more,more,big,high
757,unacc,high,low,2,2,small,low
758,unacc,high,low,2,2,small,med
760,unacc,high,low,2,2,med,low
761,unacc,high,low,2,2,med,med
762,unacc,high,low,2,2,med,high
763,unacc,high,low,2,2,big,low
764,unacc,high,low,2,2,big,med
766,unacc,high,low,2,4,small,low
767,unacc,high,low,2,4,small,med
768,acc,high,low,2,4,small,high
769,unacc,high,low,2,4,med,low
770,unacc,high,low,2,4,med,med
771,acc,high,low,2,4,med,high
772,unacc,high,low,2,4,big,low
773,acc,high,low,2,4,big,med
774,acc,high,low,2,4,big,high
775,unacc,high,low,2,more,small,low
776,unacc,high,low,2,more,small,med
777,unacc,high,low,2,more,small,high
779,unacc,high,low,2,more,med,med
781,unacc,high,low,2,more,big,low
782,acc,high,low,2,more,big,med
783,acc,high,low,2,more,big,high
784,unacc,high,low,3,2,small,low
786,unacc,high,low,3,2,small,high
787,unacc,high,low,3,2,med,low
788,unacc,high,low,3,2,med,med
789,unacc,high,low,3,2,med,high
791,unacc,high,low,3,2,big,med
792,unacc,high,low,3,2,big,high
794,unacc,high,low,3,4,small,med
795,acc,high,low,3,4,small,high
796,unacc,high,low,3,4,med,low
797,unacc,high,low,3,4,med,med
798,acc,high,low,3,4,med,high
799,unacc,high,low,3,4,big,low
800,acc,high,low,3,4,big,med
801,acc,high,low,3,4,big,high
803,unacc,high,low,3,more,small,med
806,acc,high,low,3,more,med,med
807,acc,high,low,3,more,med,high
809,acc,high,low,3,more,big,med
810,acc,high,low,3,more,big,high
811,unacc,high,low,4,2,small,low
813,unacc,high,low,4,2,small,high
815,unacc,high,low,4,2,med,med
816,unacc,high,low,4,2,med,high
817,unacc,high,low,4,2,big,low
818,unacc,high,low,4,2,big,med
819,unacc,high,low,4,2,big,high
820,unacc,high,low,4,4,small,low
821,unacc,high,low,4,4,small,med
822,acc,high,low,4,4,small,high
824,acc,high,low,4,4,med,med
828,acc,high,low,4,4,big,high
829,unacc,high,low,4,more,small,low
830,unacc,high,low,4,more,small,med
831,acc,high,low,4,more,small,high
833,acc,high,low,4,more,med,med
835,unacc,high,low,4,more,big,low
836,acc,high,low,4,more,big,med
837,acc,high,low,4,more,big,high
839,unacc,high,low,5more,2,small,med
840,unacc,high,low,5more,2,small,high
841,unacc,high,low,5more,2,med,low
842,unacc,high,low,5more,2,med,med
843,unacc,high,low,5more,2,med,high
845,unacc,high,low,5more,2,big,med
846,unacc,high,low,5more,2,big,high
847,unacc,high,low,5more,4,small,low
849,acc,high,low,5more,4,small,high
850,unacc,high,low,5more,4,med,low
851,acc,high,low,5more,4,med,med
853,unacc,high,low,5more,4,big,low
855,acc,high,low,5more,4,big,high
856,unacc,high,low,5more,more,small,low
