PassengerId,Survived,Pclass,State,Sex,Age,SibSp,Parch,Embarked
1,No,3rd,Mr,male,Young,Normal,Low,S
2,Yes,1st,Mrs,female,Mature,Normal,Low,C
3,Yes,3rd,Miss,female,Young,Normal,Low,S
4,Yes,1st,Mrs,female,Mature,Normal,Low,S
5,No,3rd,Mr,male,Mature,Normal,Low,S
6,No,3rd,Mr,male,Mature,Normal,Low,Q
7,No,1st,Mr,male,Old,Normal,Low,S
8,No,3rd,Master,male,Kid,High,Normal,S
9,Yes,3rd,Mrs,female,Young,Normal,High,S
10,Yes,2nd,Mrs,female,Young,Normal,Low,C
11,Yes,3rd,Miss,female,Kid,Normal,Normal,S
12,Yes,1st,Miss,female,Old,Normal,Low,S
13,No,3rd,Mr,male,Young,Normal,Low,S
14,No,3rd,Mr,male,Mature,Normal,High,S
15,No,3rd,Miss,female,Young,Normal,Low,S
16,Yes,2nd,Mrs,female,Old,Normal,Low,S
17,No,3rd,Master,male,Kid,High,Normal,Q
18,Yes,2nd,Mr,male,Mature,Normal,Low,S
19,No,3rd,Mrs,female,Mature,Normal,Low,S
20,Yes,3rd,Mrs,female,Mature,Normal,Low,C
21,No,2nd,Mr,male,Mature,Normal,Low,S
22,Yes,2nd,Mr,male,Mature,Normal,Low,S
23,Yes,3rd,Miss,female,Young,Normal,Low,Q
24,Yes,1st,Mr,male,Mature,Normal,Low,S
25,No,3rd,Miss,female,Kid,High,Normal,S
26,Yes,3rd,Mrs,female,Mature,Normal,High,S
27,No,3rd,Mr,male,Mature,Normal,Low,C
28,No,1st,Mr,male,Young,High,High,S
29,Yes,3rd,Miss,female,Mature,Normal,Low,Q
30,No,3rd,Mr,male,Mature,Normal,Low,S
31,No,1st,Miss,male,Mature,Normal,Low,C
32,Yes,1st,Mrs,female,Mature,Normal,Low,C
33,Yes,3rd,Miss,female,Mature,Normal,Low,Q
34,No,2nd,Mr,male,Old,Normal,Low,S
35,No,1st,Mr,male,Mature,Normal,Low,C
36,No,1st,Mr,male,Mature,Normal,Low,S
37,Yes,3rd,Mr,male,Mature,Normal,Low,C
38,No,3rd,Mr,male,Young,Normal,Low,S
39,No,3rd,Miss,female,Young,Normal,Low,S
40,Yes,3rd,Miss,female,Young,Normal,Low,C
41,No,3rd,Mrs,female,Mature,Normal,Low,S
42,No,2nd,Mrs,female,Young,Normal,Low,S
43,No,3rd,Mr,male,Mature,Normal,Low,C
44,Yes,2nd,Miss,female,Kid,Normal,High,C
45,Yes,3rd,Miss,female,Young,Normal,Low,Q
46,No,3rd,Mr,male,Mature,Normal,Low,S
47,No,3rd,Mr,male,Mature,Normal,Low,Q
48,Yes,3rd,Miss,female,Mature,Normal,Low,Q
49,No,3rd,Mr,male,Mature,Normal,Low,C
50,No,3rd,Mrs,female,Young,Normal,Low,S
51,No,3rd,Master,male,Kid,High,Normal,S
52,No,3rd,Mr,male,Young,Normal,Low,S
53,Yes,1st,Mrs,female,Mature,Normal,Low,C
54,Yes,2nd,Mrs,female,Mature,Normal,Low,S
55,No,1st,Mr,male,Old,Normal,Normal,C
56,Yes,1st,Mr,male,Mature,Normal,Low,S
57,Yes,2nd,Miss,female,Young,Normal,Low,S
58,No,3rd,Mr,male,Mature,Normal,Low,C
59,Yes,2nd,Miss,female,Kid,Normal,High,S
60,No,3rd,Master,male,Kid,High,High,S
61,No,3rd,Mr,male,Young,Normal,Low,C
62,Yes,1st,Miss,female,Mature,Normal,Low,
63,No,1st,Mr,male,Mature,Normal,Low,S
64,No,3rd,Master,male,Kid,High,High,S
65,No,1st,Mr,male,Mature,Normal,Low,C
66,Yes,3rd,Master,male,Mature,Normal,Normal,C
67,Yes,2nd,Mrs,female,Mature,Normal,Low,S
68,No,3rd,Mr,male,Young,Normal,Low,S
69,Yes,3rd,Miss,female,Young,High,High,S
70,No,3rd,Mr,male,Young,Normal,Low,S
71,No,2nd,Mr,male,Mature,Normal,Low,S
72,No,3rd,Miss,female,Young,High,High,S
73,No,2nd,Mr,male,Young,Normal,Low,S
74,No,3rd,Mr,male,Young,Normal,Low,C
75,Yes,3rd,Mr,male,Mature,Normal,Low,S
76,No,3rd,Mr,male,Young,Normal,Low,S
77,No,3rd,Mr,male,Mature,Normal,Low,S
78,No,3rd,Mr,male,Mature,Normal,Low,S
79,Yes,2nd,Master,male,Kid,Normal,High,S
80,Yes,3rd,Miss,female,Mature,Normal,Low,S
81,No,3rd,Mr,male,Young,Normal,Low,S
82,Yes,3rd,Mr,male,Mature,Normal,Low,S
83,Yes,3rd,Miss,female,Mature,Normal,Low,Q
84,No,1st,Mr,male,Mature,Normal,Low,S
85,Yes,2nd,Miss,female,Young,Normal,Low,S
86,Yes,3rd,Mrs,female,Mature,High,Low,S
87,No,3rd,Mr,male,Young,Normal,High,S
88,No,3rd,Mr,male,Mature,Normal,Low,S
89,Yes,1st,Miss,female,Young,High,High,S
90,No,3rd,Mr,male,Young,Normal,Low,S
91,No,3rd,Mr,male,Mature,Normal,Low,S
92,No,3rd,Mr,male,Young,Normal,Low,S
93,No,1st,Mr,male,Mature,Normal,Low,S
94,No,3rd,Mr,male,Young,Normal,High,S
95,No,3rd,Mr,male,Old,Normal,Low,S
96,No,3rd,Mr,male,Mature,Normal,Low,S
97,No,1st,Mr,male,Old,Normal,Low,C
98,Yes,1st,Mr,male,Young,Normal,Normal,C
99,Yes,2nd,Mrs,female,Mature,Normal,Normal,S
100,No,2nd,Mr,male,Mature,Normal,Low,S
101,No,3rd,Miss,female,Mature,Normal,Low,S
102,No,3rd,Mr,male,Mature,Normal,Low,S
103,No,1st,Mr,male,Young,Normal,Normal,S
104,No,3rd,Mr,male,Mature,Normal,Low,S
105,No,3rd,Mr,male,Mature,Normal,Low,S
106,No,3rd,Mr,male,Mature,Normal,Low,S
107,Yes,3rd,Miss,female,Young,Normal,Low,S
108,Yes,3rd,Mr,male,Mature,Normal,Low,S
109,No,3rd,Mr,male,Mature,Normal,Low,S
110,Yes,3rd,Miss,female,Mature,Normal,Low,Q
111,No,1st,Mr,male,Mature,Normal,Low,S
112,No,3rd,Miss,female,Young,Normal,Low,C
113,No,3rd,Mr,male,Young,Normal,Low,S
114,No,3rd,Miss,female,Young,Normal,Low,S
115,No,3rd,Miss,female,Young,Normal,Low,C
116,No,3rd,Mr,male,Young,Normal,Low,S
117,No,3rd,Mr,male,Old,Normal,Low,Q
118,No,2nd,Mr,male,Mature,Normal,Low,S
119,No,1st,Mr,male,Young,Normal,Normal,C
120,No,3rd,Miss,female,Kid,High,High,S
121,No,2nd,Mr,male,Young,Normal,Low,S
122,No,3rd,Mr,male,Mature,Normal,Low,S
123,No,2nd,Mr,male,Mature,Normal,Low,C
124,Yes,2nd,Miss,female,Mature,Normal,Low,S
125,No,1st,Mr,male,Old,Normal,Normal,S
126,Yes,3rd,Master,male,Kid,Normal,Low,C
127,No,3rd,Mr,male,Mature,Normal,Low,Q
128,Yes,3rd,Mr,male,Young,Normal,Low,S
129,Yes,3rd,Miss,female,Mature,Normal,Normal,C
130,No,3rd,Mr,male,Mature,Normal,Low,S
131,No,3rd,Mr,male,Mature,Normal,Low,C
132,No,3rd,Mr,male,Young,Normal,Low,S
133,No,3rd,Mrs,female,Mature,Normal,Low,S
134,Yes,2nd,Mrs,female,Mature,Normal,Low,S
135,No,2nd,Mr,male,Young,Normal,Low,S
136,No,2nd,Mr,male,Young,Normal,Low,C
137,Yes,1st,Miss,female,Young,Normal,High,S
138,No,1st,Mr,male,Mature,Normal,Low,S
139,No,3rd,Mr,male,Young,Normal,Low,S
140,No,1st,Mr,male,Young,Normal,Low,C
141,No,3rd,Mrs,female,Mature,Normal,High,C
142,Yes,3rd,Miss,female,Young,Normal,Low,S
143,Yes,3rd,Mrs,female,Young,Normal,Low,S
144,No,3rd,Mr,male,Young,Normal,Low,Q
145,No,2nd,Mr,male,Young,Normal,Low,S
146,No,2nd,Mr,male,Young,Normal,Normal,S
147,Yes,3rd,Mr,male,Young,Normal,Low,S
148,No,3rd,Miss,female,Kid,Normal,High,S
149,No,2nd,Mr,male,Mature,Normal,High,S
150,No,2nd,Miss,male,Mature,Normal,Low,S
151,No,2nd,Miss,male,Mature,Normal,Low,S
152,Yes,1st,Mrs,female,Young,Normal,Low,S
153,No,3rd,Mr,male,Old,Normal,Low,S
154,No,3rd,Mr,male,Mature,Normal,High,S
155,No,3rd,Mr,male,Mature,Normal,Low,S
156,No,1st,Mr,male,Mature,Normal,Normal,C
157,Yes,3rd,Miss,female,Young,Normal,Low,Q
158,No,3rd,Mr,male,Mature,Normal,Low,S
159,No,3rd,Mr,male,Mature,Normal,Low,S
160,No,3rd,Master,male,Mature,High,High,S
161,No,3rd,Mr,male,Mature,Normal,Normal,S
162,Yes,2nd,Mrs,female,Mature,Normal,Low,S
163,No,3rd,Mr,male,Young,Normal,Low,S
164,No,3rd,Mr,male,Young,Normal,Low,S
165,No,3rd,Master,male,Kid,High,Normal,S
166,Yes,3rd,Master,male,Kid,Normal,High,S
167,Yes,1st,Mrs,female,Mature,Normal,Normal,S
168,No,3rd,Mrs,female,Mature,Normal,High,S
169,No,1st,Mr,male,Mature,Normal,Low,S
170,No,3rd,Mr,male,Mature,Normal,Low,S
171,No,1st,Mr,male,Old,Normal,Low,S
172,No,3rd,Master,male,Kid,High,Normal,Q
173,Yes,3rd,Miss,female,Kid,Normal,Normal,S
174,No,3rd,Mr,male,Young,Normal,Low,S
175,No,1st,Mr,male,Old,Normal,Low,C
176,No,3rd,Mr,male,Young,Normal,Normal,S
177,No,3rd,Master,male,Mature,High,Normal,S
178,No,1st,Miss,female,Mature,Normal,Low,C
179,No,2nd,Mr,male,Mature,Normal,Low,S
180,No,3rd,Mr,male,Mature,Normal,Low,S
181,No,3rd,Miss,female,Mature,High,High,S
182,No,2nd,Mr,male,Mature,Normal,Low,C
183,No,3rd,Master,male,Kid,High,High,S
184,Yes,2nd,Master,male,Kid,Normal,Normal,S
185,Yes,3rd,Miss,female,Kid,Normal,High,S
186,No,1st,Mr,male,Mature,Normal,Low,S
187,Yes,3rd,Mrs,female,Mature,Normal,Low,Q
188,Yes,1st,Mr,male,Mature,Normal,Low,S
189,No,3rd,Mr,male,Mature,Normal,Normal,Q
190,No,3rd,Mr,male,Mature,Normal,Low,S
191,Yes,2nd,Mrs,female,Mature,Normal,Low,S
192,No,2nd,Mr,male,Young,Normal,Low,S
193,Yes,3rd,Miss,female,Young,Normal,Low,S
194,Yes,2nd,Master,male,Kid,Normal,Normal,S
195,Yes,1st,Mrs,female,Mature,Normal,Low,C
196,Yes,1st,Miss,female,Old,Normal,Low,C
197,No,3rd,Mr,male,Mature,Normal,Low,Q
198,No,3rd,Mr,male,Mature,Normal,Normal,S
199,Yes,3rd,Miss,female,Mature,Normal,Low,Q
200,No,2nd,Miss,female,Young,Normal,Low,S
201,No,3rd,Mr,male,Mature,Normal,Low,S
202,No,3rd,Mr,male,Mature,High,High,S
203,No,3rd,Mr,male,Mature,Normal,Low,S
204,No,3rd,Mr,male,Mature,Normal,Low,C
205,Yes,3rd,Mr,male,Young,Normal,Low,S
206,No,3rd,Miss,female,Kid,Normal,Normal,S
207,No,3rd,Mr,male,Mature,Normal,Low,S
208,Yes,3rd,Mr,male,Young,Normal,Low,C
209,Yes,3rd,Miss,female,Young,Normal,Low,Q
210,Yes,1st,Mr,male,Mature,Normal,Low,C
211,No,3rd,Mr,male,Young,Normal,Low,S
212,Yes,2nd,Miss,female,Mature,Normal,Low,S
213,No,3rd,Mr,male,Young,Normal,Low,S
214,No,2nd,Mr,male,Mature,Normal,Low,S
215,No,3rd,Mr,male,Mature,Normal,Low,Q
216,Yes,1st,Miss,female,Mature,Normal,Low,C
217,Yes,3rd,Miss,female,Young,Normal,Low,S
218,No,2nd,Mr,male,Mature,Normal,Low,S
219,Yes,1st,Miss,female,Mature,Normal,Low,C
220,No,2nd,Mr,male,Mature,Normal,Low,S
221,Yes,3rd,Mr,male,Young,Normal,Low,S
222,No,2nd,Mr,male,Young,Normal,Low,S
223,No,3rd,Mr,male,Mature,Normal,Low,S
224,No,3rd,Mr,male,Mature,Normal,Low,S
225,Yes,1st,Mr,male,Mature,Normal,Low,S
226,No,3rd,Mr,male,Young,Normal,Low,S
227,Yes,2nd,Mr,male,Young,Normal,Low,S
228,No,3rd,Mr,male,Young,Normal,Low,S
229,No,2nd,Mr,male,Young,Normal,Low,S
230,No,3rd,Miss,female,Mature,High,Normal,S
231,Yes,1st,Mrs,female,Mature,Normal,Low,S
232,No,3rd,Mr,male,Mature,Normal,Low,S
233,No,2nd,Mr,male,Old,Normal,Low,S
234,Yes,3rd,Miss,female,Kid,High,High,S
235,No,2nd,Mr,male,Young,Normal,Low,S
236,No,3rd,Miss,female,Mature,Normal,Low,S
237,No,2nd,Mr,male,Mature,Normal,Low,S
238,Yes,2nd,Miss,female,Kid,Normal,High,S
239,No,2nd,Mr,male,Young,Normal,Low,S
240,No,2nd,Mr,male,Mature,Normal,Low,S
241,No,3rd,Miss,female,Mature,Normal,Low,C
242,Yes,3rd,Miss,female,Mature,Normal,Low,Q
243,No,2nd,Mr,male,Mature,Normal,Low,S
244,No,3rd,Mr,male,Young,Normal,Low,S
245,No,3rd,Mr,male,Mature,Normal,Low,C
246,No,1st,Miss,male,Mature,Normal,Low,Q
247,No,3rd,Miss,female,Young,Normal,Low,S
248,Yes,2nd,Mrs,female,Young,Normal,High,S
249,Yes,1st,Mr,male,Mature,Normal,Normal,S
250,No,2nd,Miss,male,Old,Normal,Low,S
251,No,3rd,Mr,male,Mature,Normal,Low,S
252,No,3rd,Mrs,female,Mature,Normal,Normal,S
253,No,1st,Mr,male,Old,Normal,Low,S
254,No,3rd,Mr,male,Mature,Normal,Low,S
255,No,3rd,Mrs,female,Mature,Normal,High,S
256,Yes,3rd,Mrs,female,Mature,Normal,High,C
257,Yes,1st,Mrs,female,Mature,Normal,Low,C
258,Yes,1st,Miss,female,Mature,Normal,Low,S
259,Yes,1st,Miss,female,Mature,Normal,Low,C
260,Yes,2nd,Mrs,female,Mature,Normal,Normal,S
261,No,3rd,Mr,male,Mature,Normal,Low,Q
262,Yes,3rd,Master,male,Kid,High,High,S
263,No,1st,Mr,male,Mature,Normal,Normal,S
264,No,1st,Mr,male,Mature,Normal,Low,S
265,No,3rd,Miss,female,Mature,Normal,Low,Q
266,No,2nd,Mr,male,Mature,Normal,Low,S
267,No,3rd,Mr,male,Young,High,Normal,S
268,Yes,3rd,Mr,male,Young,Normal,Low,S
269,Yes,1st,Mrs,female,Old,Normal,Normal,S
270,Yes,1st,Miss,female,Mature,Normal,Low,S
271,No,1st,Mr,male,Mature,Normal,Low,S
272,Yes,3rd,Mr,male,Young,Normal,Low,S
273,Yes,2nd,Mrs,female,Mature,Normal,Normal,S
274,No,1st,Mr,male,Mature,Normal,Normal,C
275,Yes,3rd,Miss,female,Mature,Normal,Low,Q
276,Yes,1st,Miss,female,Old,Normal,Low,S
277,No,3rd,Miss,female,Mature,Normal,Low,S
278,No,2nd,Mr,male,Mature,Normal,Low,S
279,No,3rd,Master,male,Kid,High,Normal,Q
280,Yes,3rd,Mrs,female,Mature,Normal,Normal,S
281,No,3rd,Mr,male,Old,Normal,Low,Q
282,No,3rd,Mr,male,Mature,Normal,Low,S
283,No,3rd,Mr,male,Young,Normal,Low,S
284,Yes,3rd,Mr,male,Young,Normal,Low,S
285,No,1st,Mr,male,Mature,Normal,Low,S
286,No,3rd,Mr,male,Mature,Normal,Low,C
287,Yes,3rd,Mr,male,Mature,Normal,Low,S
288,No,3rd,Mr,male,Young,Normal,Low,S
289,Yes,2nd,Mr,male,Mature,Normal,Low,S
290,Yes,3rd,Miss,female,Young,Normal,Low,Q
291,Yes,1st,Miss,female,Young,Normal,Low,S
292,Yes,1st,Mrs,female,Young,Normal,Low,C
293,No,2nd,Mr,male,Mature,Normal,Low,C
294,No,3rd,Miss,female,Young,Normal,Low,S
295,No,3rd,Mr,male,Young,Normal,Low,S
296,No,1st,Mr,male,Mature,Normal,Low,C
297,No,3rd,Mr,male,Young,Normal,Low,C
298,No,1st,Miss,female,Kid,Normal,High,S
299,Yes,1st,Mr,male,Mature,Normal,Low,S
300,Yes,1st,Mrs,female,Mature,Normal,Normal,C
301,Yes,3rd,Miss,female,Mature,Normal,Low,Q
302,Yes,3rd,Mr,male,Mature,Normal,Low,Q
303,No,3rd,Mr,male,Young,Normal,Low,S
304,Yes,2nd,Miss,female,Mature,Normal,Low,Q
305,No,3rd,Mr,male,Mature,Normal,Low,S
306,Yes,1st,Master,male,Kid,Normal,High,S
307,Yes,1st,Miss,female,Mature,Normal,Low,C
308,Yes,1st,Mrs,female,Young,Normal,Low,C
309,No,2nd,Mr,male,Mature,Normal,Low,C
310,Yes,1st,Miss,female,Mature,Normal,Low,C
311,Yes,1st,Miss,female,Young,Normal,Low,C
312,Yes,1st,Miss,female,Young,Normal,High,C
313,No,2nd,Mrs,female,Young,Normal,Normal,S
314,No,3rd,Mr,male,Mature,Normal,Low,S
315,No,2nd,Mr,male,Mature,Normal,Normal,S
316,Yes,3rd,Miss,female,Young,Normal,Low,S
317,Yes,2nd,Mrs,female,Young,Normal,Low,S
318,No,2nd,Miss,male,Old,Normal,Low,S
319,Yes,1st,Miss,female,Mature,Normal,High,S
320,Yes,1st,Mrs,female,Mature,Normal,Normal,C
321,No,3rd,Mr,male,Young,Normal,Low,S
322,No,3rd,Mr,male,Young,Normal,Low,S
323,Yes,2nd,Miss,female,Mature,Normal,Low,Q
324,Yes,2nd,Mrs,female,Young,Normal,Normal,S
325,No,3rd,Mr,male,Mature,High,High,S
326,Yes,1st,Miss,female,Mature,Normal,Low,C
327,No,3rd,Mr,male,Old,Normal,Low,S
328,Yes,2nd,Mrs,female,Mature,Normal,Low,S
329,Yes,3rd,Mrs,female,Mature,Normal,Normal,S
330,Yes,1st,Miss,female,Young,Normal,Normal,C
331,Yes,3rd,Miss,female,Mature,Normal,Low,Q
332,No,1st,Mr,male,Mature,Normal,Low,S
333,No,1st,Mr,male,Mature,Normal,Normal,S
334,No,3rd,Mr,male,Young,Normal,Low,S
335,Yes,1st,Mrs,female,Mature,Normal,Low,S
336,No,3rd,Mr,male,Mature,Normal,Low,S
337,No,1st,Mr,male,Mature,Normal,Low,S
338,Yes,1st,Miss,female,Mature,Normal,Low,C
339,Yes,3rd,Mr,male,Mature,Normal,Low,S
340,No,1st,Mr,male,Mature,Normal,Low,S
341,Yes,2nd,Master,male,Kid,Normal,Normal,S
342,Yes,1st,Miss,female,Young,High,High,S
343,No,2nd,Mr,male,Mature,Normal,Low,S
344,No,2nd,Mr,male,Young,Normal,Low,S
345,No,2nd,Mr,male,Mature,Normal,Low,S
346,Yes,2nd,Miss,female,Young,Normal,Low,S
347,Yes,2nd,Miss,female,Mature,Normal,Low,S
348,Yes,3rd,Mrs,female,Mature,Normal,Low,S
349,Yes,3rd,Master,male,Kid,Normal,Normal,S
350,No,3rd,Mr,male,Mature,Normal,Low,S
351,No,3rd,Mr,male,Young,Normal,Low,S
352,No,1st,Mr,male,Mature,Normal,Low,S
353,No,3rd,Mr,male,Young,Normal,Normal,C
354,No,3rd,Mr,male,Young,Normal,Low,S
355,No,3rd,Mr,male,Mature,Normal,Low,C
356,No,3rd,Mr,male,Mature,Normal,Low,S
357,Yes,1st,Miss,female,Young,Normal,Normal,S
358,No,2nd,Miss,female,Mature,Normal,Low,S
359,Yes,3rd,Miss,female,Mature,Normal,Low,Q
360,Yes,3rd,Miss,female,Mature,Normal,Low,Q
361,No,3rd,Mr,male,Mature,Normal,High,S
362,No,2nd,Mr,male,Mature,Normal,Low,C
363,No,3rd,Mrs,female,Mature,Normal,Normal,C
364,No,3rd,Mr,male,Mature,Normal,Low,S
365,No,3rd,Mr,male,Mature,Normal,Low,Q
366,No,3rd,Mr,male,Mature,Normal,Low,S
367,Yes,1st,Mrs,female,Old,Normal,Low,C
368,Yes,3rd,Mrs,female,Mature,Normal,Low,C
369,Yes,3rd,Miss,female,Mature,Normal,Low,Q
370,Yes,1st,Miss,female,Young,Normal,Low,C
371,Yes,1st,Mr,male,Young,Normal,Low,C
372,No,3rd,Mr,male,Young,Normal,Low,S
373,No,3rd,Mr,male,Young,Normal,Low,S
374,No,1st,Mr,male,Young,Normal,Low,C
375,No,3rd,Miss,female,Kid,High,Normal,S
376,Yes,1st,Mrs,female,Mature,Normal,Low,C
377,Yes,3rd,Miss,female,Young,Normal,Low,S
378,No,1st,Mr,male,Young,Normal,High,C
379,No,3rd,Mr,male,Young,Normal,Low,C
380,No,3rd,Mr,male,Young,Normal,Low,S
381,Yes,1st,Miss,female,Mature,Normal,Low,C
382,Yes,3rd,Miss,female,Kid,Normal,High,C
383,No,3rd,Mr,male,Mature,Normal,Low,S
384,Yes,1st,Mrs,female,Mature,Normal,Low,S
385,No,3rd,Mr,male,Mature,Normal,Low,S
386,No,2nd,Mr,male,Young,Normal,Low,S
387,No,3rd,Master,male,Kid,High,High,S
388,Yes,2nd,Miss,female,Mature,Normal,Low,S
389,No,3rd,Mr,male,Mature,Normal,Low,Q
390,Yes,2nd,Miss,female,Young,Normal,Low,C
391,Yes,1st,Mr,male,Mature,Normal,High,S
392,Yes,3rd,Mr,male,Young,Normal,Low,S
393,No,3rd,Mr,male,Mature,Normal,Low,S
394,Yes,1st,Miss,female,Young,Normal,Low,C
395,Yes,3rd,Mrs,female,Young,Normal,High,S
396,No,3rd,Mr,male,Young,Normal,Low,S
397,No,3rd,Miss,female,Mature,Normal,Low,S
398,No,2nd,Mr,male,Mature,Normal,Low,S
399,No,2nd,Miss,male,Young,Normal,Low,S
400,Yes,2nd,Mrs,female,Mature,Normal,Low,S
401,Yes,3rd,Mr,male,Mature,Normal,Low,S
402,No,3rd,Mr,male,Young,Normal,Low,S
403,No,3rd,Miss,female,Young,Normal,Low,S
404,No,3rd,Mr,male,Mature,Normal,Low,S
405,No,3rd,Miss,female,Young,Normal,Low,S
406,No,2nd,Mr,male,Mature,Normal,Low,S
407,No,3rd,Mr,male,Mature,Normal,Low,S
408,Yes,2nd,Master,male,Kid,Normal,Normal,S
409,No,3rd,Mr,male,Young,Normal,Low,S
410,No,3rd,Miss,female,Mature,High,Normal,S
411,No,3rd,Mr,male,Mature,Normal,Low,S
412,No,3rd,Mr,male,Mature,Normal,Low,Q
413,Yes,1st,Miss,female,Mature,Normal,Low,Q
414,No,2nd,Mr,male,Mature,Normal,Low,S
415,Yes,3rd,Mr,male,Mature,Normal,Low,S
416,No,3rd,Mrs,female,Mature,Normal,Low,S
417,Yes,2nd,Mrs,female,Mature,Normal,Normal,S
418,Yes,2nd,Miss,female,Young,Normal,High,S
419,No,2nd,Mr,male,Mature,Normal,Low,S
420,No,3rd,Miss,female,Kid,Normal,High,S
421,No,3rd,Mr,male,Mature,Normal,Low,C
422,No,3rd,Mr,male,Young,Normal,Low,Q
423,No,3rd,Mr,male,Mature,Normal,Low,S
424,No,3rd,Mrs,female,Mature,Normal,Normal,S
425,No,3rd,Mr,male,Young,Normal,Normal,S
426,No,3rd,Mr,male,Mature,Normal,Low,S
427,Yes,2nd,Mrs,female,Mature,Normal,Low,S
428,Yes,2nd,Miss,female,Young,Normal,Low,S
429,No,3rd,Mr,male,Mature,Normal,Low,Q
430,Yes,3rd,Mr,male,Mature,Normal,Low,S
431,Yes,1st,Mr,male,Mature,Normal,Low,S
432,Yes,3rd,Mrs,female,Mature,Normal,Low,S
433,Yes,2nd,Mrs,female,Mature,Normal,Low,S
434,No,3rd,Mr,male,Young,Normal,Low,S
435,No,1st,Mr,male,Mature,Normal,Low,S
436,Yes,1st,Miss,female,Young,Normal,High,S
437,No,3rd,Miss,female,Young,Normal,High,S
438,Yes,2nd,Mrs,female,Young,Normal,High,S
439,No,1st,Mr,male,Old,Normal,High,S
440,No,2nd,Mr,male,Mature,Normal,Low,S
441,Yes,2nd,Mrs,female,Mature,Normal,Normal,S
442,No,3rd,Mr,male,Young,Normal,Low,S
443,No,3rd,Mr,male,Young,Normal,Low,S
444,Yes,2nd,Miss,female,Mature,Normal,Low,S
