PassengerId,Survived,Pclass,State,Sex,Age,SibSp,Parch,Embarked
445,Yes,3rd,Mr,male,Mature,Normal,Low,S
446,Yes,1st,Master,male,Kid,Normal,High,S
447,Yes,2nd,Miss,female,Kid,Normal,Normal,S
448,Yes,1st,Mr,male,Mature,Normal,Low,S
449,Yes,3rd,Miss,female,Kid,Normal,Normal,C
450,Yes,1st,Miss,male,Mature,Normal,Low,S
451,No,2nd,Mr,male,Mature,Normal,High,S
452,No,3rd,Mr,male,Mature,Normal,Low,S
453,No,1st,Mr,male,Mature,Normal,Low,C
454,Yes,1st,Mr,male,Mature,Normal,Low,C
455,No,3rd,Mr,male,Mature,Normal,Low,S
456,Yes,3rd,Mr,male,Mature,Normal,Low,C
457,No,1st,Mr,male,Old,Normal,Low,S
458,Yes,1st,Mrs,female,Mature,Normal,Low,S
459,Yes,2nd,Miss,female,Mature,Normal,Low,S
460,No,3rd,Mr,male,Mature,Normal,Low,Q
461,Yes,1st,Mr,male,Mature,Normal,Low,S
462,No,3rd,Mr,male,Mature,Normal,Low,S
463,No,1st,Mr,male,Mature,Normal,Low,S
464,No,2nd,Mr,male,Mature,Normal,Low,S
465,No,3rd,Mr,male,Mature,Normal,Low,S
466,No,3rd,Mr,male,Mature,Normal,Low,S
467,No,2nd,Mr,male,Mature,Normal,Low,S
468,No,1st,Mr,male,Old,Normal,Low,S
469,No,3rd,Mr,male,Mature,Normal,Low,Q
470,Yes,3rd,Miss,female,Kid,Normal,Normal,C
471,No,3rd,Mr,male,Mature,Normal,Low,S
472,No,3rd,Mr,male,Mature,Normal,Low,S
473,Yes,2nd,Mrs,female,Mature,Normal,High,S
474,Yes,2nd,Mrs,female,Young,Normal,Low,C
475,No,3rd,Miss,female,Young,Normal,Low,S
476,No,1st,Mr,male,Mature,Normal,Low,S
477,No,2nd,Mr,male,Mature,Normal,Low,S
478,No,3rd,Mr,male,Mature,Normal,Low,S
479,No,3rd,Mr,male,Young,Normal,Low,S
480,Yes,3rd,Miss,female,Kid,Normal,Normal,S
481,No,3rd,Master,male,Kid,High,High,S
482,No,2nd,Mr,male,Mature,Normal,Low,S
483,No,3rd,Mr,male,Mature,Normal,Low,S
484,Yes,3rd,Mrs,female,Old,Normal,Low,S
485,Yes,1st,Mr,male,Young,Normal,Low,C
486,No,3rd,Miss,female,Mature,High,Normal,S
487,Yes,1st,Mrs,female,Mature,Normal,Low,S
488,No,1st,Mr,male,Old,Normal,Low,C
489,No,3rd,Mr,male,Mature,Normal,Low,S
490,Yes,3rd,Master,male,Kid,Normal,Normal,S
491,No,3rd,Mr,male,Mature,Normal,Low,S
492,No,3rd,Mr,male,Young,Normal,Low,S
493,No,1st,Mr,male,Old,Normal,Low,S
494,No,1st,Mr,male,Old,Normal,Low,C
495,No,3rd,Mr,male,Young,Normal,Low,S
496,No,3rd,Mr,male,Mature,Normal,Low,C
497,Yes,1st,Miss,female,Old,Normal,Low,C
498,No,3rd,Mr,male,Mature,Normal,Low,S
499,No,1st,Mrs,female,Young,Normal,High,S
500,No,3rd,Mr,male,Young,Normal,Low,S
501,No,3rd,Mr,male,Young,Normal,Low,S
502,No,3rd,Miss,female,Young,Normal,Low,Q
503,No,3rd,Miss,female,Mature,Normal,Low,Q
504,No,3rd,Miss,female,Mature,Normal,Low,S
505,Yes,1st,Miss,female,Young,Normal,Low,S
506,No,1st,Mr,male,Young,Normal,Low,C
507,Yes,2nd,Mrs,female,Mature,Normal,High,S
508,Yes,1st,Mr,male,Mature,Normal,Low,S
509,No,3rd,Mr,male,Mature,Normal,Low,S
510,Yes,3rd,Mr,male,Young,Normal,Low,S
511,Yes,3rd,Mr,male,Mature,Normal,Low,Q
512,No,3rd,Mr,male,Mature,Normal,Low,S
513,Yes,1st,Mr,male,Mature,Normal,Low,S
514,Yes,1st,Mrs,female,Old,Normal,Low,C
515,No,3rd,Mr,male,Young,Normal,Low,S
516,No,1st,Mr,male,Mature,Normal,Low,S
517,Yes,2nd,Mrs,female,Mature,Normal,Low,S
518,No,3rd,Mr,male,Mature,Normal,Low,Q
519,Yes,2nd,Mrs,female,Mature,Normal,Low,S
520,No,3rd,Mr,male,Mature,Normal,Low,S
521,Yes,1st,Miss,female,Mature,Normal,Low,S
522,No,3rd,Mr,male,Young,Normal,Low,S
523,No,3rd,Mr,male,Mature,Normal,Low,C
524,Yes,1st,Mrs,female,Mature,Normal,Normal,C
525,No,3rd,Mr,male,Mature,Normal,Low,C
526,No,3rd,Mr,male,Mature,Normal,Low,Q
527,Yes,2nd,Miss,female,Mature,Normal,Low,S
528,No,1st,Mr,male,Mature,Normal,Low,S
529,No,3rd,Mr,male,Mature,Normal,Low,S
530,No,2nd,Mr,male,Young,Normal,Normal,S
531,Yes,2nd,Miss,female,Kid,Normal,Normal,S
532,No,3rd,Mr,male,Mature,Normal,Low,C
533,No,3rd,Mr,male,Young,Normal,Normal,C
534,Yes,3rd,Mrs,female,Mature,Normal,High,C
535,No,3rd,Miss,female,Mature,Normal,Low,S
536,Yes,2nd,Miss,female,Kid,Normal,High,S
537,No,1st,Miss,male,Mature,Normal,Low,S
538,Yes,1st,Miss,female,Mature,Normal,Low,C
539,No,3rd,Mr,male,Mature,Normal,Low,S
540,Yes,1st,Miss,female,Young,Normal,High,C
541,Yes,1st,Miss,female,Mature,Normal,High,S
542,No,3rd,Miss,female,Kid,High,High,S
543,No,3rd,Miss,female,Kid,High,High,S
544,Yes,2nd,Mr,male,Mature,Normal,Low,S
545,No,1st,Mr,male,Mature,Normal,Low,C
546,No,1st,Mr,male,Old,Normal,Low,S
547,Yes,2nd,Mrs,female,Young,Normal,Low,S
548,Yes,2nd,Mr,male,Mature,Normal,Low,C
549,No,3rd,Mr,male,Mature,Normal,Normal,S
550,Yes,2nd,Master,male,Kid,Normal,Normal,S
551,Yes,1st,Mr,male,Young,Normal,High,C
552,No,2nd,Mr,male,Young,Normal,Low,S
553,No,3rd,Mr,male,Mature,Normal,Low,Q
554,Yes,3rd,Mr,male,Young,Normal,Low,C
555,Yes,3rd,Miss,female,Young,Normal,Low,S
556,No,1st,Mr,male,Old,Normal,Low,S
557,Yes,1st,Miss,female,Mature,Normal,Low,C
558,No,1st,Mr,male,Mature,Normal,Low,C
559,Yes,1st,Mrs,female,Mature,Normal,Normal,S
560,Yes,3rd,Mrs,female,Mature,Normal,Low,S
561,No,3rd,Mr,male,Mature,Normal,Low,Q
562,No,3rd,Mr,male,Mature,Normal,Low,S
563,No,2nd,Mr,male,Mature,Normal,Low,S
564,No,3rd,Mr,male,Mature,Normal,Low,S
565,No,3rd,Miss,female,Mature,Normal,Low,S
566,No,3rd,Mr,male,Young,Normal,Low,S
567,No,3rd,Mr,male,Young,Normal,Low,S
568,No,3rd,Mrs,female,Mature,Normal,High,S
569,No,3rd,Mr,male,Mature,Normal,Low,C
570,Yes,3rd,Mr,male,Mature,Normal,Low,S
571,Yes,2nd,Mr,male,Old,Normal,Low,S
572,Yes,1st,Mrs,female,Mature,Normal,Low,S
573,Yes,1st,Mr,male,Mature,Normal,Low,S
574,Yes,3rd,Miss,female,Mature,Normal,Low,Q
575,No,3rd,Mr,male,Young,Normal,Low,S
576,No,3rd,Mr,male,Young,Normal,Low,S
577,Yes,2nd,Miss,female,Mature,Normal,Low,S
578,Yes,1st,Mrs,female,Mature,Normal,Low,S
579,No,3rd,Mrs,female,Mature,Normal,Low,C
580,Yes,3rd,Mr,male,Mature,Normal,Low,S
581,Yes,2nd,Miss,female,Young,Normal,Normal,S
582,Yes,1st,Mrs,female,Mature,Normal,Normal,C
583,No,2nd,Mr,male,Old,Normal,Low,S
584,No,1st,Mr,male,Mature,Normal,Low,C
585,No,3rd,Mr,male,Mature,Normal,Low,C
586,Yes,1st,Miss,female,Young,Normal,High,S
587,No,2nd,Mr,male,Mature,Normal,Low,S
588,Yes,1st,Mr,male,Old,Normal,Normal,C
589,No,3rd,Mr,male,Young,Normal,Low,S
590,No,3rd,Mr,male,Mature,Normal,Low,S
591,No,3rd,Mr,male,Mature,Normal,Low,S
592,Yes,1st,Mrs,female,Mature,Normal,Low,C
593,No,3rd,Mr,male,Mature,Normal,Low,S
594,No,3rd,Miss,female,Mature,Normal,High,Q
595,No,2nd,Mr,male,Mature,Normal,Low,S
596,No,3rd,Mr,male,Mature,Normal,Normal,S
597,Yes,2nd,Miss,female,Mature,Normal,Low,S
598,No,3rd,Mr,male,Mature,Normal,Low,S
599,No,3rd,Mr,male,Mature,Normal,Low,C
600,Yes,1st,Miss,male,Mature,Normal,Low,C
601,Yes,2nd,Mrs,female,Young,Normal,Normal,S
602,No,3rd,Mr,male,Mature,Normal,Low,S
603,No,1st,Mr,male,Mature,Normal,Low,S
604,No,3rd,Mr,male,Mature,Normal,Low,S
605,Yes,1st,Mr,male,Mature,Normal,Low,C
606,No,3rd,Mr,male,Mature,Normal,Low,S
607,No,3rd,Mr,male,Mature,Normal,Low,S
608,Yes,1st,Mr,male,Young,Normal,Low,S
609,Yes,2nd,Mrs,female,Young,Normal,High,C
610,Yes,1st,Miss,female,Mature,Normal,Low,S
611,No,3rd,Mrs,female,Mature,Normal,High,S
612,No,3rd,Mr,male,Mature,Normal,Low,S
613,Yes,3rd,Miss,female,Mature,Normal,Low,Q
614,No,3rd,Mr,male,Mature,Normal,Low,Q
615,No,3rd,Mr,male,Mature,Normal,Low,S
616,Yes,2nd,Miss,female,Young,Normal,High,S
617,No,3rd,Mr,male,Mature,Normal,Normal,S
618,No,3rd,Mrs,female,Young,Normal,Low,S
619,Yes,2nd,Miss,female,Kid,Normal,Normal,S
620,No,2nd,Mr,male,Young,Normal,Low,S
621,No,3rd,Mr,male,Young,Normal,Low,C
622,Yes,1st,Mr,male,Mature,Normal,Low,S
623,Yes,3rd,Mr,male,Young,Normal,Normal,C
624,No,3rd,Mr,male,Young,Normal,Low,S
625,No,3rd,Mr,male,Young,Normal,Low,S
626,No,1st,Mr,male,Old,Normal,Low,S
627,No,2nd,Miss,male,Old,Normal,Low,Q
628,Yes,1st,Miss,female,Young,Normal,Low,S
629,No,3rd,Mr,male,Young,Normal,Low,S
630,No,3rd,Mr,male,Mature,Normal,Low,Q
631,Yes,1st,Mr,male,Old,Normal,Low,S
632,No,3rd,Mr,male,Mature,Normal,Low,S
633,Yes,1st,Miss,male,Mature,Normal,Low,C
634,No,1st,Mr,male,Mature,Normal,Low,S
635,No,3rd,Miss,female,Kid,High,High,S
636,Yes,2nd,Miss,female,Mature,Normal,Low,S
637,No,3rd,Mr,male,Mature,Normal,Low,S
638,No,2nd,Mr,male,Mature,Normal,Normal,S
639,No,3rd,Mrs,female,Mature,Normal,High,S
640,No,3rd,Mr,male,Mature,Normal,Low,S
641,No,3rd,Mr,male,Young,Normal,Low,S
642,Yes,1st,Miss,female,Young,Normal,Low,C
643,No,3rd,Miss,female,Kid,High,High,S
644,Yes,3rd,Mr,male,Mature,Normal,Low,S
645,Yes,3rd,Miss,female,Kid,Normal,Normal,C
646,Yes,1st,Mr,male,Mature,Normal,Low,C
647,No,3rd,Mr,male,Young,Normal,Low,S
648,Yes,1st,Miss,male,Old,Normal,Low,C
649,No,3rd,Mr,male,Mature,Normal,Low,S
650,Yes,3rd,Miss,female,Young,Normal,Low,S
651,No,3rd,Mr,male,Mature,Normal,Low,S
652,Yes,2nd,Miss,female,Young,Normal,Normal,S
653,No,3rd,Mr,male,Young,Normal,Low,S
654,Yes,3rd,Miss,female,Mature,Normal,Low,Q
655,No,3rd,Miss,female,Young,Normal,Low,Q
656,No,2nd,Mr,male,Young,Normal,Low,S
657,No,3rd,Mr,male,Mature,Normal,Low,S
658,No,3rd,Mrs,female,Mature,Normal,Normal,Q
659,No,2nd,Mr,male,Young,Normal,Low,S
660,No,1st,Mr,male,Old,Normal,High,C
661,Yes,1st,Miss,male,Mature,Normal,Low,S
662,No,3rd,Mr,male,Mature,Normal,Low,C
663,No,1st,Mr,male,Mature,Normal,Low,S
664,No,3rd,Mr,male,Mature,Normal,Low,S
665,Yes,3rd,Mr,male,Young,Normal,Low,S
666,No,2nd,Mr,male,Mature,Normal,Low,S
667,No,2nd,Mr,male,Young,Normal,Low,S
668,No,3rd,Mr,male,Mature,Normal,Low,S
669,No,3rd,Mr,male,Mature,Normal,Low,S
670,Yes,1st,Mrs,female,Mature,Normal,Low,S
671,Yes,2nd,Mrs,female,Mature,Normal,Normal,S
672,No,1st,Mr,male,Mature,Normal,Low,S
673,No,2nd,Mr,male,Old,Normal,Low,S
674,Yes,2nd,Mr,male,Mature,Normal,Low,S
675,No,2nd,Mr,male,Mature,Normal,Low,S
676,No,3rd,Mr,male,Young,Normal,Low,S
677,No,3rd,Mr,male,Young,Normal,Low,S
678,Yes,3rd,Miss,female,Young,Normal,Low,S
679,No,3rd,Mrs,female,Mature,Normal,High,S
680,Yes,1st,Mr,male,Mature,Normal,Normal,C
681,No,3rd,Miss,female,Mature,Normal,Low,Q
682,Yes,1st,Mr,male,Young,Normal,Low,C
683,No,3rd,Mr,male,Young,Normal,Low,S
684,No,3rd,Mr,male,Young,High,High,S
685,No,2nd,Mr,male,Old,Normal,Normal,S
686,No,2nd,Mr,male,Young,Normal,High,C
687,No,3rd,Mr,male,Young,High,Normal,S
688,No,3rd,Mr,male,Young,Normal,Low,S
689,No,3rd,Mr,male,Young,Normal,Low,S
690,Yes,1st,Miss,female,Young,Normal,Normal,S
691,Yes,1st,Mr,male,Mature,Normal,Low,S
692,Yes,3rd,Miss,female,Kid,Normal,Normal,C
693,Yes,3rd,Mr,male,Mature,Normal,Low,S
694,No,3rd,Mr,male,Young,Normal,Low,C
695,No,1st,Miss,male,Old,Normal,Low,S
696,No,2nd,Mr,male,Mature,Normal,Low,S
697,No,3rd,Mr,male,Mature,Normal,Low,S
698,Yes,3rd,Miss,female,Mature,Normal,Low,Q
699,No,1st,Mr,male,Mature,Normal,Normal,C
700,No,3rd,Mr,male,Mature,Normal,Low,S
701,Yes,1st,Mrs,female,Young,Normal,Low,C
702,Yes,1st,Mr,male,Mature,Normal,Low,S
703,No,3rd,Miss,female,Young,Normal,Normal,C
704,No,3rd,Mr,male,Young,Normal,Low,Q
705,No,3rd,Mr,male,Young,Normal,Low,S
706,No,2nd,Mr,male,Mature,Normal,Low,S
707,Yes,2nd,Mrs,female,Mature,Normal,Low,S
708,Yes,1st,Mr,male,Mature,Normal,Low,S
709,Yes,1st,Miss,female,Young,Normal,Low,S
710,Yes,3rd,Master,male,Mature,Normal,Normal,C
711,Yes,1st,Miss,female,Young,Normal,Low,C
712,No,1st,Mr,male,Mature,Normal,Low,S
713,Yes,1st,Mr,male,Mature,Normal,Low,S
714,No,3rd,Mr,male,Mature,Normal,Low,S
715,No,2nd,Mr,male,Mature,Normal,Low,S
716,No,3rd,Mr,male,Young,Normal,Low,S
717,Yes,1st,Miss,female,Mature,Normal,Low,C
718,Yes,2nd,Miss,female,Young,Normal,Low,S
719,No,3rd,Mr,male,Mature,Normal,Low,Q
720,No,3rd,Mr,male,Mature,Normal,Low,S
721,Yes,2nd,Miss,female,Kid,Normal,Normal,S
722,No,3rd,Mr,male,Young,Normal,Low,S
723,No,2nd,Mr,male,Mature,Normal,Low,S
724,No,2nd,Mr,male,Mature,Normal,Low,S
725,Yes,1st,Mr,male,Young,Normal,Low,S
726,No,3rd,Mr,male,Young,Normal,Low,S
727,Yes,2nd,Mrs,female,Mature,High,Low,S
728,Yes,3rd,Miss,female,Mature,Normal,Low,Q
729,No,2nd,Mr,male,Young,Normal,Low,S
730,No,3rd,Miss,female,Young,Normal,Low,S
731,Yes,1st,Miss,female,Mature,Normal,Low,S
732,No,3rd,Mr,male,Kid,Normal,Low,C
733,No,2nd,Mr,male,Mature,Normal,Low,S
734,No,2nd,Mr,male,Young,Normal,Low,S
735,No,2nd,Mr,male,Young,Normal,Low,S
736,No,3rd,Mr,male,Mature,Normal,Low,S
737,No,3rd,Mrs,female,Mature,Normal,High,S
738,Yes,1st,Mr,male,Mature,Normal,Low,C
739,No,3rd,Mr,male,Mature,Normal,Low,S
740,No,3rd,Mr,male,Mature,Normal,Low,S
741,Yes,1st,Mr,male,Mature,Normal,Low,S
742,No,1st,Mr,male,Mature,Normal,Low,S
743,Yes,1st,Miss,female,Young,Normal,High,C
744,No,3rd,Mr,male,Young,Normal,Low,S
745,Yes,3rd,Mr,male,Mature,Normal,Low,S
746,No,1st,Miss,male,Old,Normal,Normal,S
747,No,3rd,Mr,male,Young,Normal,Normal,S
748,Yes,2nd,Miss,female,Mature,Normal,Low,S
749,No,1st,Mr,male,Young,Normal,Low,S
750,No,3rd,Mr,male,Mature,Normal,Low,Q
751,Yes,2nd,Miss,female,Kid,Normal,Normal,S
752,Yes,3rd,Master,male,Kid,Normal,Normal,S
753,No,3rd,Mr,male,Mature,Normal,Low,S
754,No,3rd,Mr,male,Young,Normal,Low,S
755,Yes,2nd,Mrs,female,Mature,Normal,High,S
756,Yes,2nd,Master,male,Kid,Normal,Normal,S
757,No,3rd,Mr,male,Mature,Normal,Low,S
758,No,2nd,Mr,male,Young,Normal,Low,S
759,No,3rd,Mr,male,Mature,Normal,Low,S
760,Yes,1st,Miss,female,Mature,Normal,Low,S
761,No,3rd,Mr,male,Mature,Normal,Low,S
762,No,3rd,Mr,male,Mature,Normal,Low,S
763,Yes,3rd,Mr,male,Young,Normal,Low,C
764,Yes,1st,Mrs,female,Mature,Normal,High,S
765,No,3rd,Mr,male,Young,Normal,Low,S
766,Yes,1st,Mrs,female,Mature,Normal,Low,S
767,No,1st,Miss,male,Mature,Normal,Low,C
768,No,3rd,Miss,female,Mature,Normal,Low,Q
769,No,3rd,Mr,male,Mature,Normal,Low,Q
770,No,3rd,Mr,male,Mature,Normal,Low,S
771,No,3rd,Mr,male,Young,Normal,Low,S
772,No,3rd,Mr,male,Mature,Normal,Low,S
773,No,2nd,Mrs,female,Old,Normal,Low,S
774,No,3rd,Mr,male,Mature,Normal,Low,C
775,Yes,2nd,Mrs,female,Old,Normal,High,S
776,No,3rd,Mr,male,Young,Normal,Low,S
777,No,3rd,Mr,male,Mature,Normal,Low,Q
778,Yes,3rd,Miss,female,Kid,Normal,Low,S
779,No,3rd,Mr,male,Mature,Normal,Low,Q
780,Yes,1st,Mrs,female,Mature,Normal,Normal,S
781,Yes,3rd,Miss,female,Kid,Normal,Low,C
782,Yes,1st,Mrs,female,Young,Normal,Low,S
783,No,1st,Mr,male,Mature,Normal,Low,S
784,No,3rd,Mr,male,Mature,Normal,High,S
785,No,3rd,Mr,male,Young,Normal,Low,S
786,No,3rd,Mr,male,Young,Normal,Low,S
787,Yes,3rd,Miss,female,Young,Normal,Low,S
788,No,3rd,Master,male,Kid,High,Normal,Q
789,Yes,3rd,Master,male,Kid,Normal,High,S
790,No,1st,Mr,male,Mature,Normal,Low,C
791,No,3rd,Mr,male,Mature,Normal,Low,Q
792,No,2nd,Mr,male,Young,Normal,Low,S
793,No,3rd,Miss,female,Mature,High,High,S
794,No,1st,Mr,male,Mature,Normal,Low,C
795,No,3rd,Mr,male,Young,Normal,Low,S
796,No,2nd,Mr,male,Mature,Normal,Low,S
797,Yes,1st,Miss,female,Mature,Normal,Low,S
798,Yes,3rd,Mrs,female,Mature,Normal,Low,S
799,No,3rd,Mr,male,Mature,Normal,Low,C
800,No,3rd,Mrs,female,Mature,Normal,Normal,S
801,No,2nd,Mr,male,Mature,Normal,Low,S
802,Yes,2nd,Mrs,female,Mature,Normal,Normal,S
803,Yes,1st,Master,male,Kid,Normal,High,S
804,Yes,3rd,Master,male,Kid,Normal,Normal,C
805,Yes,3rd,Mr,male,Young,Normal,Low,S
806,No,3rd,Mr,male,Mature,Normal,Low,S
807,No,1st,Mr,male,Mature,Normal,Low,S
808,No,3rd,Miss,female,Young,Normal,Low,S
809,No,2nd,Mr,male,Mature,Normal,Low,S
810,Yes,1st,Mrs,female,Mature,Normal,Low,S
811,No,3rd,Mr,male,Young,Normal,Low,S
812,No,3rd,Mr,male,Mature,Normal,Low,S
813,No,2nd,Mr,male,Mature,Normal,Low,S
814,No,3rd,Miss,female,Kid,High,High,S
815,No,3rd,Mr,male,Mature,Normal,Low,S
816,No,1st,Mr,male,Mature,Normal,Low,S
817,No,3rd,Miss,female,Young,Normal,Low,S
818,No,2nd,Mr,male,Mature,Normal,Normal,C
819,No,3rd,Mr,male,Mature,Normal,Low,S
820,No,3rd,Master,male,Kid,High,High,S
821,Yes,1st,Mrs,female,Mature,Normal,Normal,S
822,Yes,3rd,Mr,male,Young,Normal,Low,S
823,No,1st,Miss,male,Mature,Normal,Low,S
824,Yes,3rd,Mrs,female,Young,Normal,Normal,S
825,No,3rd,Master,male,Kid,High,Normal,S
826,No,3rd,Mr,male,Mature,Normal,Low,Q
827,No,3rd,Mr,male,Mature,Normal,Low,S
828,Yes,2nd,Master,male,Kid,Normal,High,C
829,Yes,3rd,Mr,male,Mature,Normal,Low,Q
830,Yes,1st,Mrs,female,Old,Normal,Low,
831,Yes,3rd,Mrs,female,Young,Normal,Low,C
832,Yes,2nd,Master,male,Kid,Normal,Normal,S
833,No,3rd,Mr,male,Mature,Normal,Low,C
834,No,3rd,Mr,male,Young,Normal,Low,S
835,No,3rd,Mr,male,Young,Normal,Low,S
836,Yes,1st,Miss,female,Mature,Normal,Normal,C
837,No,3rd,Mr,male,Young,Normal,Low,S
838,No,3rd,Mr,male,Mature,Normal,Low,S
839,Yes,3rd,Mr,male,Mature,Normal,Low,S
840,Yes,1st,Mr,male,Mature,Normal,Low,C
841,No,3rd,Mr,male,Young,Normal,Low,S
842,No,2nd,Mr,male,Young,Normal,Low,S
843,Yes,1st,Miss,female,Mature,Normal,Low,C
844,No,3rd,Mr,male,Mature,Normal,Low,C
845,No,3rd,Mr,male,Young,Normal,Low,S
846,No,3rd,Mr,male,Mature,Normal,Low,S
847,No,3rd,Mr,male,Mature,High,High,S
848,No,3rd,Mr,male,Mature,Normal,Low,C
849,No,2nd,Miss,male,Mature,Normal,Normal,S
850,Yes,1st,Mrs,female,Mature,Normal,Low,C
851,No,3rd,Master,male,Kid,High,High,S
852,No,3rd,Mr,male,Old,Normal,Low,S
853,No,3rd,Miss,female,Kid,Normal,Normal,C
854,Yes,1st,Miss,female,Young,Normal,Normal,S
855,No,2nd,Mrs,female,Mature,Normal,Low,S
856,Yes,3rd,Mrs,female,Young,Normal,Normal,S
857,Yes,1st,Mrs,female,Mature,Normal,Normal,S
858,Yes,1st,Mr,male,Mature,Normal,Low,S
859,Yes,3rd,Mrs,female,Young,Normal,High,C
860,No,3rd,Mr,male,Mature,Normal,Low,C
861,No,3rd,Mr,male,Mature,Normal,Low,S
862,No,2nd,Mr,male,Young,Normal,Low,S
863,Yes,1st,Mrs,female,Mature,Normal,Low,S
864,No,3rd,Miss,female,Mature,High,High,S
865,No,2nd,Mr,male,Young,Normal,Low,S
866,Yes,2nd,Mrs,female,Mature,Normal,Low,S
867,Yes,2nd,Miss,female,Young,Normal,Low,C
868,No,1st,Mr,male,Mature,Normal,Low,S
869,No,3rd,Mr,male,Mature,Normal,Low,S
870,Yes,3rd,Master,male,Kid,Normal,Normal,S
871,No,3rd,Mr,male,Young,Normal,Low,S
872,Yes,1st,Mrs,female,Mature,Normal,Normal,S
873,No,1st,Mr,male,Mature,Normal,Low,S
874,No,3rd,Mr,male,Mature,Normal,Low,S
875,Yes,2nd,Mrs,female,Mature,Normal,Low,C
876,Yes,3rd,Miss,female,Young,Normal,Low,C
877,No,3rd,Mr,male,Young,Normal,Low,S
878,No,3rd,Mr,male,Young,Normal,Low,S
879,No,3rd,Mr,male,Mature,Normal,Low,S
880,Yes,1st,Mrs,female,Old,Normal,Normal,C
881,Yes,2nd,Mrs,female,Young,Normal,Normal,S
882,No,3rd,Mr,male,Mature,Normal,Low,S
883,No,3rd,Miss,female,Young,Normal,Low,S
884,No,2nd,Mr,male,Mature,Normal,Low,S
885,No,3rd,Mr,male,Young,Normal,Low,S
886,No,3rd,Mrs,female,Mature,Normal,High,Q
887,No,2nd,Miss,male,Young,Normal,Low,S
888,Yes,1st,Miss,female,Young,Normal,Low,S
889,No,3rd,Miss,female,Mature,Normal,High,S
890,Yes,1st,Mr,male,Young,Normal,Low,C
891,No,3rd,Mr,Mature,Normal,Low,Q,
